          TS_Te        TS_Terr         T15_Te       T15_Terr          TS_ne        TS_nerr         T15_ne       T15_nerr        TS_chi2       T15_chi2
      1156.2685        34.6420       955.5938        57.3529     9.8806e+04     1.0459e+03     3.1623e-24     7.1128e-26         3.2679         8.6860
       955.5938        25.3341       955.5938        57.4864     9.4766e+04     9.9892e+02     3.1302e-24     6.9891e-26         1.4648         6.6781
      1051.1532        29.1592       868.7217        47.4325     9.7585e+04     1.0165e+03     3.2082e-24     6.9787e-26         0.0611         5.3088
      1051.1532        30.8940       868.7217        50.7374     8.9295e+04     9.8122e+02     2.7972e-24     6.5063e-26         2.1845         4.9359
       955.5938        27.6218       868.7217        51.8199     8.0113e+04     9.1906e+02     2.6850e-24     6.4014e-26         3.3373         4.5646
      1051.1532        33.0256       955.5938        66.3772     7.6904e+04     9.0553e+02     2.4686e-24     6.3584e-26         1.1689         3.4068
      1156.2685        39.6157      1051.1532        75.6866     7.6269e+04     9.2518e+02     2.5385e-24     6.4609e-26         1.3530         4.8249
      1051.1532        35.8299       868.7217        57.2245     6.5515e+04     8.3515e+02     2.1930e-24     5.7851e-26         4.7201         9.1736
      1051.1532        37.7039       955.5938        74.1905     6.0051e+04     8.0949e+02     1.9368e-24     5.6437e-26         5.0605         7.1075
      1156.2685        45.5381       955.5938        75.9944     5.7208e+04     7.9902e+02     1.7994e-24     5.4079e-26         1.1952         8.8826
      1156.2685        47.3091      1051.1532        91.0213     5.5152e+04     7.9811e+02     1.7826e-24     5.4519e-26         2.5473         8.3798
       955.5938        35.4745       868.7217        69.3810     4.8915e+04     7.2299e+02     1.5531e-24     4.9495e-26         0.3964         5.9560
       868.7217        32.4475       868.7217        73.4822     4.2624e+04     6.7340e+02     1.3601e-24     4.6483e-26         3.5359         6.3444
       868.7217        33.5820       868.7217        75.8653     3.9870e+04     6.4690e+02     1.2674e-24     4.4734e-26         2.5124         4.3118
       868.7217        34.3311       955.5938        90.5253     3.7759e+04     6.3340e+02     1.2588e-24     4.4292e-26         0.8550        11.9370
       868.7217        35.5608       789.7470        69.5662     3.5009e+04     6.0926e+02     1.1418e-24     4.2634e-26         3.1298         3.9809
       955.5938        43.4002       868.7217        80.1908     3.3099e+04     5.9900e+02     1.0945e-24     4.1119e-26         1.4252         8.9614
       868.7217        37.6778       789.7470        75.7872     3.2174e+04     5.8793e+02     9.6799e-25     4.0170e-26         1.7896         5.5699
       652.6834        25.5626       717.9518        65.8220     2.8043e+04     5.4713e+02     8.5276e-25     3.6213e-26         0.4427        11.3152
      2478.5643       410.2467      2478.5643       649.6498     9.9666e+03     5.6069e+02     1.1260e-24     9.1873e-26       360.0443         5.8315
       156.2472         3.7569       129.1299         6.2225     6.1054e+04     8.4670e+02     2.0928e-24     6.0236e-26         9.5212        11.5319
       228.7616         4.7502       171.8719         6.9565     7.1578e+04     9.0412e+02     2.5533e-24     6.5156e-26         6.9848         5.9459
       276.8015         5.2956       276.8015        10.0323     7.8085e+04     9.3527e+02     2.7402e-24     6.6804e-26         2.9933         7.6184
       334.9298         6.2805       334.9298        11.7626     8.4456e+04     9.5876e+02     2.8857e-24     6.7634e-26         4.5625         6.0242
       405.2651         7.8222       368.4228        13.8510     8.4526e+04     9.6149e+02     2.8501e-24     6.7789e-26         1.4602         6.1811
       490.3707        10.1954       445.7916        17.3606     7.9545e+04     9.2162e+02     2.7979e-24     6.5492e-26         0.7279         6.5185
       593.3486        13.5833       593.3486        27.1669     7.4534e+04     8.8184e+02     2.7591e-24     6.4732e-26         3.7639         4.9999
       717.9518        17.5806       717.9518        36.8016     7.8167e+04     8.9835e+02     2.7566e-24     6.4315e-26         5.4841         9.2366
       868.7217        22.2616       789.7470        40.7058     8.9018e+04     9.6074e+02     3.0671e-24     6.7710e-26         4.7645         7.4334
       955.5938        26.2017       789.7470        42.1998     9.0129e+04     9.8283e+02     3.0469e-24     6.8392e-26         2.1739         6.3690
      1051.1532        30.6690       868.7217        48.7557     8.8505e+04     9.7129e+02     3.0820e-24     6.8849e-26         2.5282         6.8150
      1156.2685        37.1241      1051.1532        69.9966     8.6625e+04     9.8232e+02     2.8910e-24     6.7956e-26         2.3513        10.4680
      1271.8954        44.4549      1051.1532        73.5202     8.5448e+04     1.0017e+03     2.6987e-24     6.6864e-26         0.4790         7.1972
      1271.8954        45.0294      1156.2685        87.2568     8.3078e+04     9.8794e+02     2.7501e-24     6.9188e-26         8.6291        11.9147
      1156.2685        41.4397      1051.1532        76.7098     7.0305e+04     8.9223e+02     2.4346e-24     6.2641e-26         3.3907         4.3731
      1051.1532        35.1052       955.5938        66.4809     6.9406e+04     8.6840e+02     2.2834e-24     5.9840e-26         0.4702        11.2092
      1051.1532        35.4709       955.5938        66.5098     6.7452e+04     8.5238e+02     2.2666e-24     5.8918e-26         7.7256         5.6362
       955.5938        30.1552       868.7217        58.6815     6.7659e+04     8.4934e+02     2.1972e-24     5.8639e-26         1.5200         4.1930
      1051.1532        32.3093       955.5938        61.6419     8.1888e+04     9.4387e+02     2.7034e-24     6.5979e-26         3.2169         9.6006
       955.5938        24.8849       789.7470        40.9106     9.8656e+04     1.0210e+03     3.0685e-24     6.8881e-26         4.2686         7.7321
       955.5938        22.9356       955.5938        52.6464     1.1922e+05     1.1330e+03     3.8000e-24     7.8137e-26         3.9538         9.9963
       955.5938        22.2425       789.7470        36.8872     1.2317e+05     1.1437e+03     3.9800e-24     7.8454e-26         3.3618         8.0091
       955.5938        21.2487       868.7217        41.0284     1.3798e+05     1.2175e+03     4.2755e-24     8.0655e-26         2.9936        11.3749
       955.5938        20.7529       868.7217        39.9418     1.4342e+05     1.2389e+03     4.6760e-24     8.5260e-26         2.2944         4.3234
       868.7217        17.9465       789.7470        33.6689     1.3777e+05     1.1994e+03     4.5782e-24     8.3974e-26         4.5388         7.6856
      1156.2685        26.7624      1051.1532        52.0448     1.6840e+05     1.3824e+03     5.2874e-24     9.2352e-26         0.9140        10.0387
      1156.2685        26.4877       955.5938        44.4444     1.6862e+05     1.3681e+03     5.1867e-24     9.0388e-26         7.0067         8.0499
      1051.1532        23.0390       955.5938        44.4563     1.5751e+05     1.2996e+03     5.0796e-24     8.9032e-26         4.4895        17.0189
       955.5938        19.9078       868.7217        39.0114     1.5239e+05     1.2686e+03     4.7856e-24     8.6496e-26         1.8459         9.6941
       868.7217        17.9879       789.7470        33.7331     1.4680e+05     1.2677e+03     4.7383e-24     8.5654e-26         3.2885         8.1144
       955.5938        20.5504       868.7217        40.0129     1.4604e+05     1.2460e+03     4.7358e-24     8.6349e-26         4.4768        12.9232
      1051.1532        23.8822       868.7217        42.3562     1.4997e+05     1.2771e+03     4.7762e-24     9.1818e-26         3.5283         7.9477
      1051.1532        25.2509       868.7217        41.5082     1.3324e+05     1.1987e+03     4.2287e-24     8.0589e-26         1.6764         9.1492
      1051.1532        25.9200       955.5938        50.2631     1.2450e+05     1.1541e+03     4.0663e-24     7.9788e-26         2.1343         4.8416
      1051.1532        27.1158       868.7217       107.1809     1.1369e+05     1.0999e+03     3.5213e-24     1.6889e-25         0.8504         0.8141
      1051.1532        28.6242       955.5938        55.0863     1.0252e+05     1.0474e+03     3.3898e-24     7.2859e-26         3.3613         4.2204
       955.5938        27.2927       868.7217        51.4237     8.1018e+04     9.2665e+02     2.7053e-24     6.3765e-26         1.4071         4.5486
       955.5938        28.3113       868.7217        56.1817     7.4670e+04     8.8459e+02     2.3868e-24     6.1586e-26         5.9222         4.2504
      1051.1532        35.0115       955.5938        68.8618     6.9051e+04     8.6732e+02     2.2172e-24     5.9426e-26         4.1209         2.2450
       789.7470        24.7456       717.9518        46.0845     5.4491e+04     7.6040e+02     1.7596e-24     5.3321e-26         1.1717         3.3554
       142.0429         3.5032       117.3909         9.9158     6.1524e+04     8.6062e+02     2.1907e-24     8.3371e-26         6.1733         4.6926
       189.0591         4.1500       156.2472         5.9030     7.2036e+04     9.1431e+02     2.5600e-24     6.5837e-26         3.8115         6.6121
       228.7616         4.4610       207.9651         7.1951     8.2012e+04     9.6364e+02     2.9210e-24     6.9003e-26         4.5935         6.3010
       304.4816         5.2934       276.8015         9.2049     8.9928e+04     9.9801e+02     3.1700e-24     7.1123e-26         1.9957        10.1996
       368.4228         6.6063       334.9298        12.1434     9.2312e+04     1.0064e+03     3.1214e-24     7.0549e-26         5.7054        11.7777
       445.7916         8.8080       405.2651        15.2028     8.2793e+04     9.4030e+02     3.0096e-24     6.8334e-26         3.5750        10.9061
       539.4078        11.0671       539.4078        22.3042     8.5587e+04     9.4711e+02     3.0691e-24     6.8978e-26         4.8785         8.0455
       652.6834        14.5276       652.6834        29.3790     8.6263e+04     9.4803e+02     3.1097e-24     6.8563e-26         3.8477        11.2456
       789.7470        17.8126       789.7470        37.4392     1.0227e+05     1.0270e+03     3.5692e-24     7.2179e-26         4.4296         3.8428
       789.7470        17.6859       789.7470        38.3194     1.0535e+05     1.0482e+03     3.6177e-24     7.4725e-26         6.6038         9.7659
       868.7217        20.4732       789.7470        38.0559     1.0596e+05     1.0528e+03     3.5715e-24     7.3439e-26         2.4705        10.9780
      1051.1532        27.3199       868.7217        43.3376     1.1354e+05     1.1039e+03     3.8374e-24     7.6244e-26         3.6042         8.7722
      1051.1532        27.6429       955.5938        52.9932     1.1176e+05     1.1010e+03     3.6108e-24     7.5101e-26         3.8093        11.9828
      1051.1532        30.1444       955.5938        57.1939     9.4542e+04     1.0146e+03     3.1038e-24     6.9156e-26         2.0470         2.7735
       955.5938        25.8104       868.7217        49.3052     9.2650e+04     9.9361e+02     3.0457e-24     6.8622e-26         2.5472         6.4138
       955.5938        25.3000       868.7217        48.4156     9.5215e+04     1.0025e+03     3.1263e-24     6.9392e-26         3.7683         8.2598
       868.7217        21.4191       789.7470        40.4186     9.6597e+04     1.0062e+03     3.1824e-24     6.9661e-26         5.2991         4.4171
       789.7470        17.5811       717.9518        33.2064     1.0440e+05     1.0456e+03     3.4510e-24     7.2660e-26         0.9934         9.9627
       652.6834        12.4560       652.6834        25.9577     1.1630e+05     1.1041e+03     3.8942e-24     7.6755e-26         9.8558        12.0371
       789.7470        15.6228       717.9518        29.8461     1.3138e+05     1.1699e+03     4.2592e-24     8.0144e-26         3.2668        14.4271
       717.9518        13.3067       717.9518        29.3915     1.3815e+05     1.2028e+03     4.5367e-24     8.3333e-26         3.4946         8.7951
       717.9518        13.2054       717.9518        28.6127     1.3810e+05     1.2008e+03     4.5358e-24     8.3568e-26         1.2079         7.5755
       717.9518        13.3570       652.6834        24.2349     1.3739e+05     1.2049e+03     4.6313e-24     8.3568e-26         5.1614         6.3111
       717.9518        13.0226       652.6834        24.4735     1.3807e+05     1.1900e+03     4.6064e-24     8.3823e-26         3.3240        10.3783
       717.9518        13.6171       717.9518        28.5603     1.3168e+05     1.1764e+03     4.4260e-24     8.2051e-26         6.2149        10.0897
       717.9518        13.8570       652.6834        25.8329     1.2486e+05     1.1432e+03     4.1358e-24     7.9112e-26         5.6054        12.1047
       717.9518        14.1715       717.9518        29.7929     1.2092e+05     1.1246e+03     4.1304e-24     7.8257e-26         1.5333         9.6473
       717.9518        14.4645       652.6834        27.1613     1.1511e+05     1.0964e+03     3.8091e-24     7.6618e-26         3.7728        12.5184
       717.9518        14.1574       652.6834        26.6340     1.2032e+05     1.1198e+03     3.9128e-24     7.6820e-26         5.7566         3.4952
       717.9518        14.8252       652.6834        26.5774     1.1007e+05     1.0720e+03     3.7611e-24     7.5809e-26         4.6265         8.6966
       652.6834        13.6756       593.3486        24.6913     9.9800e+04     1.0319e+03     3.3134e-24     7.0754e-26         7.6556         5.0102
       593.3486        12.5153       593.3486        26.7217     8.7235e+04     9.6023e+02     2.9426e-24     6.8131e-26         8.2669         9.4621
      2478.5643       555.1726      2478.5643       286.3177     5.8524e+03     4.4624e+02     3.7933e-24     1.5631e-25       303.2055        52.1125
      2478.5643       218.9878      2478.5643       206.9591     3.3973e+04     1.0381e+03     7.1706e-24     2.0511e-25       606.5051       265.3369
       156.2472         3.1873       129.1299         5.4708     8.1456e+04     9.7977e+02     2.7479e-24     6.9475e-26         7.4088         8.0522
       207.9651         3.9209       189.0591         6.6947     8.7273e+04     1.0015e+03     3.1105e-24     7.2340e-26         3.6168        13.2250
       251.6377         4.7131       251.6377         8.2662     9.4098e+04     1.0288e+03     3.2633e-24     7.2703e-26         6.4341         7.2515
       304.4816         5.1422       334.9298        11.2368     1.0422e+05     1.0687e+03     3.4888e-24     7.4323e-26         6.9035        11.8498
       368.4228         6.3821       368.4228        12.0112     1.0395e+05     1.0644e+03     3.5177e-24     7.4485e-26         1.1557        13.8560
       445.7916         7.5810       405.2651        13.3482     1.1297e+05     1.1004e+03     3.8844e-24     7.7750e-26         7.4030        16.0053
       539.4078         9.2280       490.3707        15.8821     1.1997e+05     1.1208e+03     4.4448e-24     8.1610e-26         1.8205         8.8238
       652.6834        12.1688       593.3486        21.2429     1.2326e+05     1.1294e+03     4.3812e-24     8.0624e-26         6.4056         7.2871
       717.9518        13.6980       717.9518        28.7969     1.3155e+05     1.1690e+03     4.4289e-24     8.1241e-26         9.1177         6.3076
       868.7217        17.6249       717.9518        28.5905     1.4101e+05     1.2117e+03     4.6939e-24     8.4884e-26         1.2902        12.6774
       868.7217        17.2499       789.7470        32.2308     1.4825e+05     1.2390e+03     5.0203e-24     8.6799e-26         3.7327        10.0465
       868.7217        17.5723       789.7470        32.6374     1.4342e+05     1.2230e+03     4.9413e-24     8.7093e-26         3.6650        13.1229
       955.5938        21.5402       868.7217        40.4211     1.3151e+05     1.1796e+03     4.4045e-24     8.2169e-26         0.9714        11.9932
       868.7217        20.3751       717.9518        32.1828     1.0889e+05     1.0761e+03     3.6264e-24     7.4147e-26         4.7739        10.6116
       789.7470        17.0221       789.7470        37.0091     1.1152e+05     1.0775e+03     3.7111e-24     7.4595e-26         1.9961         5.5703
       789.7470        16.7664       717.9518        30.9898     1.1432e+05     1.0926e+03     3.8453e-24     7.6220e-26         6.6413        11.6532
       717.9518        14.0966       652.6834        26.5233     1.1805e+05     1.1070e+03     3.9640e-24     7.8116e-26         5.3642        11.3818
       652.6834        11.9975       593.3486        22.5777     1.2383e+05     1.1420e+03     4.1769e-24     8.0212e-26         5.9551        15.0139
       717.9518        13.3583       652.6834        24.4080     1.3632e+05     1.1953e+03     4.5113e-24     8.2121e-26         3.3460        11.0338
       652.6834        11.5285       593.3486        20.7824     1.3673e+05     1.1985e+03     4.7260e-24     8.4544e-26         0.9095        11.5848
       652.6834        11.1489       593.3486        20.6324     1.4589e+05     1.2393e+03     4.8886e-24     8.6136e-26         0.8247         8.9378
       717.9518        12.9902       652.6834        23.4090     1.4775e+05     1.2553e+03     5.0122e-24     8.7872e-26         1.3894        11.7205
       717.9518        13.2189       652.6834        24.3229     1.3798e+05     1.2044e+03     4.6514e-24     8.4884e-26         6.7362         9.7650
       717.9518        13.6013       652.6834        25.2829     1.3603e+05     1.2023e+03     4.5382e-24     8.4479e-26         4.5047        13.2125
       717.9518        13.6093       652.6834        24.5863     1.3145e+05     1.1709e+03     4.3427e-24     7.9948e-26         2.2987        10.0267
       652.6834        12.0355       652.6834        25.6856     1.2155e+05     1.1235e+03     4.0784e-24     7.8838e-26         0.5758        14.2613
       717.9518        14.0434       717.9518        29.9696     1.2169e+05     1.1292e+03     4.0336e-24     7.7478e-26         0.0363         8.4989
       717.9518        14.2806       652.6834        26.6694     1.1409e+05     1.0925e+03     3.8221e-24     7.6232e-26         9.1957         7.1463
       717.9518        14.8677       652.6834        27.8183     1.0942e+05     1.0694e+03     3.7091e-24     7.5721e-26         2.0939         6.4066
       593.3486        11.8191       539.4078        21.6532     9.6147e+04     1.0027e+03     3.2435e-24     7.0487e-26         3.8457         8.9534
       593.3486        12.6793       539.4078        22.3949     8.5245e+04     9.5058e+02     2.8526e-24     6.5184e-26         2.8113        12.6431
